,Title,Summary,Published On
109,"Stocks making the biggest moves midday: Snap, Electronic Arts, Skyworks & more",Names on the move ahead of the open.,2019-02-06 17:31:00Z
110,"Natural disasters cost $91 billion in 2018, according to federal report","Natural disasters cost the country $91 billion in 2018, according to a new report from the National Oceanic and Atmospheric Administration.",2019-02-06 17:03:00Z
111,Janet Yellen says global slowdown in places like China and Europe is a growing threat to US,The former Fed chief made the comments on CNBC&#039;s &quot;Power Lunch&quot; on Wednesday.,2019-02-06 19:36:00Z
112,Fed's Powell reveals what he thinks is the biggest challenge over the next decade,"Sluggish productivity and a widening wealth gap are the biggest challenges facing the U.S. over the next decade, the central bank chief said",2019-02-07 01:02:00Z
113,EU cuts Germany's growth prospects with fears over global trade,"The European Commission, the EU&#039;s executive arm, revised down its growth forecasts for the country on Thursday. It&#039;s now expected to grow by 1.1 percent this year, from a previous forecast of 1.8 percent.",2019-02-07 10:48:00Z
114,"Chinese consumer is the 'single most important thing' in the world economy, Jim O'Neill says",The former Goldman chair said Beijing needs to act fast to get households to spend.,2019-02-07 11:31:00Z
115,US weekly jobless claims fall from a one-and-a-half-year high,"First-time claims for state unemployment benefits were expected to total 221,000 in the most recent week, down from the 253,000 claims reported for the previous week.",2019-02-07 13:30:00Z
116,"Your first trade for Thursday, February 7",The &quot;Fast Money&quot; traders share their first moves for the market open.,2019-02-07 14:19:00Z
117,Trump is 'highly unlikely' to meet Chinese President Xi before March trade deadline,"Trump and Xi are still expected to meet, but there&#039;s too much work to do to prepare Trump for a high-stakes meeting with North Korea&#039;s Kim Jong Un.",2019-02-07 16:29:00Z
118,There's one big reason behind the biggest bank merger in a decade: Technology,"Banks like SunTrust and BB&amp;T are looking to compete with the top banks on technology spending, while facing pressure from fintech.",2019-02-07 18:10:00Z
119,Americans are starting to feel better about buying homes � sort of,"The share of Americans who say it is a good time to buy a home increased four percentage points to 15 percent in January compared with December, according to a monthly survey from Fannie Mae.",2019-02-07 18:07:00Z
120,Ocasio-Cortez's Green New Deal offers 'economic security' for those 'unwilling to work',The Green New Deal looks to create a more environmentally sound country with economic benefits for everyone � even those who don&#039;t want to work.,2019-02-07 20:59:00Z
121,Fed's Bullard: 'Restrictive' US policy is likely curbing inflation,"Fed&#039;s interest rate increase in December likely tipped monetary policy into a restrictive setting that may be pushing the economy farther from one of the Fed&#039;s key goals, James Bullard, president of the St. Louis Federal Reserve Bank, said.",2019-02-08 11:12:00Z
122,"Stocks making the biggest moves premarket: Hasbro, Coty, Expedia, Verizon & more",Names on the move ahead of the open.,2019-02-08 12:48:00Z
123,"Your first trade for Friday, February 8",The &quot;Fast Money&quot; traders share their first moves for the market open.,2019-02-08 14:42:00Z
124,"After going up for six straight weeks, the stock market comeback is on hold � here's why",The Dow Jones Industrial Average is headed for its first negative week of 2019 and there a few key reasons why the stock market&#039;s recent rally has slowed.,2019-02-08 17:24:00Z
125,"Firm owned by Trump's longtime bodyguard Keith Schiller has received $225,000 from the RNC","Schiller was hired by the RNC to help select a site for the 2020 convention. But once Charlotte, North Carolina, was announced in July, Schiller&#039;s firm was kept on to &quot;work on other security needs for the committee,&quot; a party official told CNBC.",2019-02-08 18:19:00Z
126,The fate of the market this year could be in the hands of the 'Powell Put',"In a Fed connotation, a put would be a point at which Powell would not let the market fall below before he steps in with more stimulus.",2019-02-08 18:38:00Z
127,Trump's disruptive foreign policy will be tested in four major ways this month,"February brings the most significant series of tests yet of whether President Trump can transform his disruptive U.S. foreign policy into concrete outcomes, writes Fred Kempe of the Atlantic Council.",2019-02-09 12:00:00Z
128,"'This is the fight of our lives,' Elizabeth Warren says as she formally launches her 2020 presidential bid","Warren has long been considered a top contender among Democrats in 2020, and Saturday&#039;s announcement marked the final step in a process that had been underway for months.",2019-02-09 17:08:00Z
129,"The housing market is facing risks this year, but here's why it's not all bad news for buyers","With spring on the way, many home buyers are starting their hunt for a new home.",2019-02-10 14:12:00Z
130,Here's why Wells Fargo has sliced its forecasts for rate hikes and bond yields,"As bond yields fall on global growth fears, Wells Fargo is making some changes.",2019-02-10 22:00:00Z
131,"Emerging markets set for a 'rally' after last year's rout, says strategist","With the Federal Reserve pledging to be &quot;patient&quot; in future rate hikes, emerging markets could enjoy a turnaround this year, said Mary Nicola, a strategist at Eastspring Investments.",2019-02-11 04:59:00Z
132,"Krugman expects to see a global recession this year, warns 'we don't have an effective response'","There is a decent chance the world economy is headed for a recession in 2019, according to Nobel Prize-winning economist Paul Krugman.",2019-02-11 09:23:00Z
133,"Struggling Nvidia shares 'likely to remain hamstrung,' Bernstein says in downgrade",Bernstein downgraded semiconductor stock Nvidia on Monday to market-perform from outperform.,2019-02-11 12:22:00Z
134,Growing economic anxiety hits Main Street as small-business confidence declines: Survey,"Small-business confidence declined in the Q1, according to a new CNBC/SurveyMonkey survey. After reaching an all-time high in the Q3r 2018, entrepreneurs across the U.S. have grown more concerned about business conditions, revenue and hiring.",2019-02-11 13:30:00Z
135,A giant coalition of companies including Amazon and Apple urges Congress to save 'Dreamer' immigrants,More than 100 major companies including Apple and Amazon are renewing their push for immigration reform as another government shutdown looms.,2019-02-11 13:49:00Z
136,'We're not in a good place': Democrats and GOP can't agree about how to stop another shutdown,"Efforts to avoid another shutdown may fail, a Democratic aide told CNBC on Sunday.",2019-02-11 14:15:00Z
